========================================================================================================================
MATERIAL CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
data_handler_unit_v0                              3.0 kg     100.0%       0.0%       0.0%
electrolyzer_pem_v0_v0                          260.0 kg     100.0%       0.0%       0.0%
drill_press_v0                                  120.0 kg      91.1%       0.0%       8.9%
electric_motor_3_phase_5kw                       25.0 kg      93.8%       0.0%       6.2%
chemical_separation_equipment                   200.0 kg       0.0%       0.0%       0.0%
gas_chromatograph_simple_v0                      25.0 kg       0.0%       0.0%       0.0%
magnetization_station_v0                         60.0 kg       0.0%       0.0%       0.0%
steel_forming_press                            2000.0 kg       0.0%       0.0%       0.0%
kapvik_microrover_30kg_v0                        30.0 kg       0.0%       0.0%       0.0%
material_preparation_equipment                  200.0 kg       0.0%       0.0%       0.0%
gravity_separator                               180.0 kg      29.1%       0.0%      70.9%
ffc_reactor_unit_v0                             250.0 kg       0.0%       0.0%     100.0%
robot_arm_6dof_v0                                60.0 kg       0.0%       0.0%     100.0%
punch_press_or_drill                            350.0 kg      99.1%       0.0%       0.9%
acid_reactor_v0                                 250.0 kg       0.0%       0.0%       0.0%
build_atmosphere_control_v0                     100.0 kg      37.0%       0.0%      63.0%
lathe_engine_v0                                 180.0 kg      99.5%       0.0%       0.5%
mineral_processing_unit                         800.0 kg      38.3%       0.0%      61.7%
basic_fabrication_station_v0                    500.0 kg      99.5%       0.0%       0.5%
plastic_extruder                                250.0 kg      99.7%       0.0%       0.3%
haber_bosch_reactor_v0                         1500.0 kg       0.0%       0.0%       0.0%
hip_press_unit_v0                              1000.0 kg      96.5%       0.0%       3.5%
mining_equipment                               5000.0 kg      99.8%       0.0%       0.2%
amari_neural_field_hardware_v0                    2.0 kg       0.0%       0.0%       0.0%
chemical_processing_unit                        450.0 kg      38.3%       0.0%      61.7%
jaw_crusher_v0                                  900.0 kg      99.5%       0.0%       0.5%
thermionic_generator                            350.0 kg       0.0%       0.0%     100.0%
coating_station                                 120.0 kg      45.0%       0.0%      55.0%
thermionic_converter_v0                          45.0 kg       0.0%       0.0%     100.0%
grinder_cylindrical_v0                          600.0 kg      18.4%       0.0%      81.6%
co2_co_ratio_control_ffc_v0                       2.0 kg     100.0%       0.0%       0.0%
mixer_or_blender                                 80.0 kg      52.9%       0.0%      47.1%
oxygen_collection_system_ffc_v0                  60.0 kg       0.0%       0.0%     100.0%
crucible_set                                     50.0 kg       0.0%       0.0%       0.0%
fiber_drawing_tower                             500.0 kg      40.5%       0.0%      59.5%
powder_mill_and_mixer                           200.0 kg      99.7%       0.0%       0.3%
solar_concentrator_fresnel                      320.0 kg     100.0%       0.0%       0.0%
water_electrolyzer_v0                           180.0 kg      21.3%       0.0%      78.7%
cnc_mill_v0_v0                                  600.0 kg      99.6%       0.0%       0.4%
obstacle_avoidance_ai_v0                          1.0 kg       0.0%       0.0%       0.0%
universal_constructor_system_v0                1000.0 kg      99.7%       0.0%       0.3%
hydraulic_assembly_tools                         15.0 kg       0.0%       0.0%     100.0%
rover_communication_system_v0                   250.0 kg      98.8%       0.0%       1.2%
chemical_reactor_unit_v1_v0                    1200.0 kg       0.0%       0.0%     100.0%
fixturing_workbench                             150.0 kg      38.3%       0.0%      61.7%
analog_test_bench_neural_circuits_v0             60.0 kg       0.0%       0.0%       0.0%
manufacturing_cell_v0                          1500.0 kg       0.0%       0.0%       0.0%
cleaning_station_basic_v0                        60.0 kg       0.0%       0.0%       0.0%
yn_mlp_network_hardware_v0                       40.0 kg       0.0%       0.0%       0.0%
cryogenic_separation_system_v0                  800.0 kg      14.2%       0.0%      85.8%
electrolysis_cell_unit_v0                        25.0 kg       0.1%       0.0%      99.9%
glove_box_or_dry_room                           200.0 kg      95.8%       0.0%       4.2%
thermionic_topping_cycle_v0                     120.0 kg       0.0%       0.0%       0.0%
coordinate_measuring_machine_v0                 900.0 kg      82.8%       0.0%      17.2%
refractory_installation_tools                    10.0 kg       0.0%       0.0%     100.0%
powder_compactor_v0                             600.0 kg       0.0%       0.0%       0.0%
power_unit                                      100.0 kg      51.1%       0.0%      48.9%
packed_bed_distillation_v0                     1200.0 kg      24.7%       0.0%      75.3%
molding_press_v0                               1500.0 kg      98.6%       0.0%       1.4%
power_management_system                         100.0 kg       0.0%       0.0%     100.0%
lab_v0_v0                                        60.0 kg       0.0%       0.0%       0.0%
path_planning_algorithm_v0                        1.0 kg       0.0%       0.0%       0.0%
plastic_extruder_v0                             250.0 kg      99.7%       0.0%       0.3%
robot_gripper_multi_finger_v0                     6.0 kg       0.0%       0.0%       0.0%
power_supply_unit_v0                             60.0 kg      51.1%       0.0%      48.9%
coating_station_v0                              120.0 kg      45.0%       0.0%      55.0%
reactor_heating_cooling_system_v0               800.0 kg       1.7%       0.0%      98.3%
metal_powder_sieving_system_v0                   60.0 kg     100.0%       0.0%       0.0%
crystallization_unit_v0                         500.0 kg     100.0%       0.0%       0.0%
precision_lathe                                1200.0 kg      99.7%       0.0%       0.3%
hardness_tester_v0                               20.0 kg       0.0%       0.0%       0.0%
cnc_mill_v0                                     600.0 kg      99.6%       0.0%       0.4%
precision_stage                                  75.0 kg      79.0%       0.0%      21.0%
cryogenic_chiller_provider_v0                   600.0 kg       0.0%       0.0%       0.0%
ebm_machine_lunar_v0                           1800.0 kg       0.0%       0.0%       0.0%
material_handling_equipment                     400.0 kg       0.0%       0.0%       0.0%
surface_treatment_station                       300.0 kg      60.9%       0.0%      39.1%
excavator_basic                                3000.0 kg      65.7%       0.0%      34.3%
basic_fabrication_station                       450.0 kg      99.5%       0.0%       0.5%
thermionic_power_system_v0                      500.0 kg      11.1%       0.0%      88.9%
chemical_reactor_unit_v1                        220.0 kg       0.0%       0.0%     100.0%
measurement_equipment                            30.0 kg      16.7%       0.0%      83.3%
encapsulation_station                            80.0 kg      18.8%       0.0%      81.2%
distillation_column_simple_v0                   180.0 kg       0.0%       0.0%       0.0%
molding_press                                   300.0 kg      98.6%       0.0%       1.4%
pellet_press                                    800.0 kg     100.0%       0.0%       0.0%
rolling_mill_v0                                1200.0 kg     100.0%       0.0%       0.0%
carbon_safety_system_v0                          60.0 kg       0.0%       0.0%     100.0%
machine_vision_processing_v0                      6.0 kg       0.0%       0.0%     100.0%
extraction_unit                                 200.0 kg       0.0%       0.0%       0.0%
carbonyl_safety_system_v0_v0                     60.0 kg       0.0%       0.0%       0.0%
carbonyl_safety_system_v0                        60.0 kg       0.0%       0.0%       0.0%
resource_3d_printer_basic_v0                    100.0 kg       0.0%       0.0%       0.0%
ratslam_hardware_implementation_v0                3.0 kg     100.0%       0.0%       0.0%
cnc_mill                                        600.0 kg      99.6%       0.0%       0.4%
precision_grinding_system_v0                    600.0 kg      86.6%       0.0%      13.4%
heating_plate_or_induction_heater                25.0 kg      37.2%       0.0%      62.8%
curing_oven                                     400.0 kg     100.0%       0.0%       0.0%
drill_press                                     100.0 kg      91.1%       0.0%       8.9%
crusher_basic                                   600.0 kg      99.8%       0.0%       0.2%
rms_reconfigurable_system_v0                    200.0 kg       0.0%       0.0%       0.0%
visual_odometry_system_v0_v0                      6.0 kg      88.3%       0.0%      11.7%
vapor_capture_system_v0                          80.0 kg       0.0%       0.0%     100.0%
solar_concentrator_fresnel_v0                   320.0 kg     100.0%       0.0%       0.0%
visual_odometry_system_v0                         6.0 kg      88.3%       0.0%      11.7%
metal_shear_or_saw                              350.0 kg       8.2%       0.0%      91.8%
rivet_installation_tool_v0                        8.0 kg       0.0%       0.0%     100.0%
cutting_station_basic_v0                         60.0 kg       0.0%       0.0%       0.0%
resource_prospecting_ai_v0                        1.0 kg       0.0%       0.0%       0.0%
hydrogen_oxygen_torch_v0                         15.0 kg       0.0%       0.0%       0.0%
filtration_unit                                 180.0 kg      17.2%       0.0%      82.8%
robot_gripper_parallel_jaw_v0                     5.0 kg       0.0%       0.0%       0.0%
centrifugal_separator_v0                        250.0 kg      99.4%       0.0%       0.6%
assembly_workbench_v0                           120.0 kg       0.0%       0.0%       0.0%
strain_gauge_bonding_station_v0                  25.0 kg       0.0%       0.0%       0.0%
electrolyzer_alkaline_v0                       1100.0 kg      70.9%       0.0%      29.1%
rolling_mill_or_brake                           800.0 kg      34.9%       0.0%      65.1%
calibration_station                             150.0 kg     100.0%       0.0%       0.0%
flywheel_motor_generator_v0                     400.0 kg      91.1%       0.0%       8.9%
demonstrated_solar_concentrator_2017_v0         100.0 kg       0.0%       0.0%       0.0%
bearing_grinding_machine_v0                     350.0 kg      99.5%       0.0%       0.5%
cryogenic_chiller_provider_v0_v0                600.0 kg       0.0%       0.0%       0.0%
ammonia_recovery_unit_v0                        400.0 kg      21.1%       0.0%      78.9%
glassworking_station                             80.0 kg      99.7%       0.0%       0.3%
electrolyzer_pem_v0                             260.0 kg     100.0%       0.0%       0.0%
mixing_station                                   50.0 kg       0.0%       0.0%       0.0%
ebm_powder_handling_system_v0                    60.0 kg      99.6%       0.0%       0.4%
powder_mixer                                     80.0 kg      99.9%       0.0%       0.1%
stewart_platform_calibrator                     150.0 kg      91.3%       0.0%       8.7%
conveyor_belt_system_v0                          60.0 kg      67.8%       0.0%      32.2%
hydraulic_pump_unit_basic                       120.0 kg      93.1%       0.0%       6.9%
delta_robot_v0                                   80.0 kg       0.0%       0.0%       0.0%
furnace_high_temp                               800.0 kg     100.0%       0.0%       0.0%
chemical_reactor_unit_v0                       1200.0 kg       0.0%       0.0%       0.0%
cellular_manufacturing_layout_v0                  1.0 kg       0.0%       0.0%       0.0%
forging_press_v0                                850.0 kg       0.0%       0.0%     100.0%
forge_or_induction_heater                      1500.0 kg      97.5%       0.0%       2.5%
dynamic_balancing_stand_v0                       70.0 kg      99.1%       0.0%       0.9%
regolith_brick_press_v0                        1200.0 kg       0.0%       0.0%       0.0%
welding_consumables                              25.0 kg     100.0%       0.0%       0.0%
chemical_reactor_heated                         600.0 kg      90.9%       0.0%       9.1%
air_compressor_small                             25.0 kg       0.0%       0.0%       0.0%
pelletizer_v0                                    40.0 kg      99.3%       0.0%       0.7%
chemical_reactor_heated_v0_v0                   600.0 kg      90.9%       0.0%       9.1%
carbon_safety_system_v0_v0                       60.0 kg       0.0%       0.0%       0.0%
microscope_inspection_stereo                     12.0 kg       0.0%       0.0%       0.0%
nife_meteorite_magnetic_detection_v0             12.0 kg      92.1%       0.0%       7.9%
generic_chemical_reactor_v0                     250.0 kg     100.0%       0.0%       0.0%
labor_bot_basic_v0                              120.0 kg       0.0%       0.0%       0.0%
water_purification_distillation_v0              120.0 kg      99.0%       0.0%       1.0%
pheromone_digital_system_v0                       0.0 kg       0.0%       0.0%       0.0%
