========================================================================================================================
CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
refining_furnace_v0                             900.0 kg       0.0%     100.0%       0.0%
rivet_installation_tool_v0                        8.0 kg       0.0%     100.0%       0.0%
welding_spot_welder_v0                          100.0 kg       0.0%     100.0%       0.0%
hydrogen_oxygen_torch_v0                         15.0 kg       0.0%     100.0%       0.0%
filtration_unit                                 180.0 kg       0.0%     100.0%       0.0%
fms_control_system_v0_v0                         25.0 kg       0.0%     100.0%       0.0%
robot_gripper_parallel_jaw_v0                     5.0 kg       0.0%     100.0%       0.0%
centrifugal_separator_v0                        250.0 kg       0.0%     100.0%       0.0%
assembly_workbench_v0                           120.0 kg       0.0%     100.0%       0.0%
quench_tank                                     200.0 kg       0.0%     100.0%       0.0%
rolling_mill_or_brake                           800.0 kg       0.0%     100.0%       0.0%
calibration_station                             150.0 kg       0.0%     100.0%       0.0%
mre_reactor_v0                                 1600.0 kg       0.0%     100.0%       0.0%
demonstrated_solar_concentrator_2017_v0         100.0 kg       0.0%     100.0%       0.0%
bearing_grinding_machine_v0                     350.0 kg       0.0%     100.0%       0.0%
hpht_furnace_v0                                1000.0 kg       0.0%     100.0%       0.0%
cryogenic_chiller_provider_v0_v0                600.0 kg       0.0%     100.0%       0.0%
glassworking_station                             80.0 kg       0.0%     100.0%       0.0%
gas_handling_loop_v0                            120.0 kg       0.0%     100.0%       0.0%
cartesian_gantry_assembler_v0                   200.0 kg       0.0%     100.0%       0.0%
ebm_powder_handling_system_v0                    60.0 kg       0.0%     100.0%       0.0%
hauler                                         8000.0 kg       0.0%     100.0%       0.0%
powder_mixer                                     80.0 kg       0.0%     100.0%       0.0%
conveyor_belt_system_v0                          60.0 kg       0.0%     100.0%       0.0%
hydraulic_pump_unit_basic                       120.0 kg       0.0%     100.0%       0.0%
delta_robot_v0                                   80.0 kg       0.0%     100.0%       0.0%
