========================================================================================================================
MATERIAL CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
dynamic_balancing_stand_v0                       70.0 kg     100.0%       0.0%       0.0%
electric_motor_3_phase_5kw                       25.0 kg     100.0%       0.0%       0.0%
forge_or_induction_heater                      1500.0 kg     100.0%       0.0%       0.0%
forge_or_induction_heater_v0                   1800.0 kg     100.0%       0.0%       0.0%
welding_arc_welder_v0                            45.0 kg     100.0%       0.0%       0.0%
cryogenic_chiller_v0                            300.0 kg     100.0%       0.0%       0.0%
gear_hobbing_machine_v0                         900.0 kg     100.0%       0.0%       0.0%
jaw_crusher_v0                                  900.0 kg     100.0%       0.0%       0.0%
mining_equipment                               5000.0 kg     100.0%       0.0%       0.0%
basic_fabrication_station_v0                    500.0 kg     100.0%       0.0%       0.0%
basic_fabrication_station                       450.0 kg     100.0%       0.0%       0.0%
roll_grinding_lathe_or_cylindrical_grinder_v0        600.0 kg     100.0%       0.0%       0.0%
ball_mill_v0                                   1100.0 kg     100.0%       0.0%       0.0%
core_memory_threading_machine_v0                200.0 kg     100.0%       0.0%       0.0%
regolith_brick_press_hydraulic_v0              2000.0 kg     100.0%       0.0%       0.0%
lattice_builder_gantry_v0                      1200.0 kg     100.0%       0.0%       0.0%
cnc_mill_v0_v0                                  600.0 kg     100.0%       0.0%       0.0%
cnc_mill_v0                                     600.0 kg     100.0%       0.0%       0.0%
cnc_mill                                        600.0 kg     100.0%       0.0%       0.0%
crusher_basic                                   600.0 kg     100.0%       0.0%       0.0%
plastic_extruder                                250.0 kg     100.0%       0.0%       0.0%
plastic_extruder_v0                             250.0 kg     100.0%       0.0%       0.0%
lattice_builder_gantry_robot_v0                1100.0 kg     100.0%       0.0%       0.0%
bearing_grinding_machine_v0                     350.0 kg     100.0%       0.0%       0.0%
grinder_cylindrical_v0                          600.0 kg     100.0%       0.0%       0.0%
heating_furnace                                 800.0 kg     100.0%       0.0%       0.0%
powder_mill_and_mixer                           200.0 kg     100.0%       0.0%       0.0%
ebm_powder_handling_system_v0                    60.0 kg     100.0%       0.0%       0.0%
cement_mixer_small                              120.0 kg     100.0%       0.0%       0.0%
microstructure_analysis_system_v0               120.0 kg     100.0%       0.0%       0.0%
